                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7299,                    0.1,                      1,                 1.5984,                      0,                      0,                      0
                      2,                 1.7299,                    0.1,                      1,                 1.5989,             7.1047e-06,             7.1047e-06,             7.1047e-06
                      3,                 1.7047,                    0.2,                      1,                 1.5963,             1.4139e-05,             1.4139e-05,             1.4139e-05
                      4,                 1.6551,                    0.2,                      1,                 1.5923,             2.1102e-05,             2.1102e-05,             2.1102e-05
                      5,                 1.5825,                    0.2,                      1,                 1.5887,             2.7995e-05,             2.7995e-05,             2.7995e-05
                      6,                 1.4893,                    0.3,                      1,                 1.5851,             3.4816e-05,             3.4816e-05,             3.4816e-05
                      7,                 1.3785,                    0.4,                      1,                 1.5811,             4.1568e-05,             4.1568e-05,             4.1568e-05
                      8,                 1.2544,                    0.4,                      1,                 1.5765,             4.8248e-05,             4.8248e-05,             4.8248e-05
                      9,                 1.1219,                    0.4,                      1,                 1.5713,             5.4858e-05,             5.4858e-05,             5.4858e-05
                     10,                0.98605,                    0.4,                      1,                 1.5656,             6.1397e-05,             6.1397e-05,             6.1397e-05
                     11,                0.85202,                    0.4,                      1,                 1.5598,             6.7866e-05,             6.7866e-05,             6.7866e-05
                     12,                0.72451,                    0.4,                      1,                 1.5538,             7.4263e-05,             7.4263e-05,             7.4263e-05
                     13,                0.60748,                    0.4,                      1,                 1.5477,             8.0591e-05,             8.0591e-05,             8.0591e-05
                     14,                 0.5031,                    0.4,                      1,                 1.5415,             8.6847e-05,             8.6847e-05,             8.6847e-05
                     15,                0.41209,                    0.4,                      1,                 1.5351,             9.3033e-05,             9.3033e-05,             9.3033e-05
                     16,                0.33446,                    0.4,                      1,                 1.5285,             9.9148e-05,             9.9148e-05,             9.9148e-05
                     17,                0.26948,                    0.4,                      1,                 1.5217,             0.00010519,             0.00010519,             0.00010519
                     18,                0.21596,                    0.4,                      1,                 1.5217,             0.00011117,             0.00011117,             0.00011117
                     19,                0.21596,                    0.4,                      1,                 1.5154,             0.00011707,             0.00011707,             0.00011707
                     20,                0.17058,                    0.4,                      1,                 1.5154,              0.0001229,              0.0001229,              0.0001229
                     21,                0.17058,                    0.4,                      1,                 1.5087,             0.00012866,             0.00012866,             0.00012866
