                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6996,                    0.2,                      1,                 1.5938,              2.856e-05,              2.856e-05,              2.856e-05
                      2,                  1.569,                    0.4,                      1,                 1.5806,             6.3942e-05,             6.3942e-05,             6.3942e-05
                      3,                  1.396,                    0.4,                      1,                  1.554,              9.897e-05,              9.897e-05,              9.897e-05
                      4,                 1.1501,                    0.5,                      1,                 1.5291,             0.00013365,             0.00013365,             0.00013365
                      5,                0.99613,                    0.5,                      1,                 1.4872,             0.00016797,             0.00016797,             0.00016797
                      6,                0.82024,                    0.6,                      1,                 1.4475,             0.00020194,             0.00020194,             0.00020194
                      7,                0.61364,                    0.7,                      1,                  1.384,             0.00023555,             0.00023555,             0.00023555
                      8,                0.49792,                    0.9,                      1,                 1.3314,             0.00026881,             0.00026881,             0.00026881
                      9,                0.32304,                      1,                      1,                 1.2498,             0.00030172,             0.00030172,             0.00030172
                     10,                0.22201,                      1,                      1,                 1.1962,             0.00033427,             0.00033427,             0.00033427
                     11,                0.13943,                      1,                      1,                 1.1539,             0.00036647,             0.00036647,             0.00036647
                     12,                0.13579,                      1,                      1,                 1.1183,             0.00039832,             0.00039832,             0.00039832
                     13,                0.10976,                      1,                      1,                 1.1031,             0.00042982,             0.00042982,             0.00042982
                     14,                0.05534,                      1,                      1,                   1.07,             0.00046096,             0.00046096,             0.00046096
                     15,                0.03773,                      1,                      1,                 1.0466,             0.00049174,             0.00049174,             0.00049174
                     16,                0.04703,                      1,                      1,                 1.0339,             0.00052218,             0.00052218,             0.00052218
                     17,                0.01751,                      1,                      1,                 1.0142,             0.00055226,             0.00055226,             0.00055226
                     18,                0.01503,                      1,                      1,                 1.0189,             0.00058199,             0.00058199,             0.00058199
                     19,                0.01658,                      1,                      1,                 1.0171,             0.00061136,             0.00061136,             0.00061136
                     20,                0.01527,                      1,                      1,                 1.0049,             0.00064038,             0.00064038,             0.00064038
                     21,                0.01104,                      1,                      1,                0.99983,             0.00064331,             0.00064331,             0.00064331
                     22,                0.00904,                      1,                      1,                0.99778,             0.00064331,             0.00064331,             0.00064331
                     23,                0.00531,                      1,                      1,                0.99293,             0.00063978,             0.00063978,             0.00063978
                     24,                0.00812,                      1,                      1,                0.98918,             0.00063625,             0.00063625,             0.00063625
                     25,                0.00715,                      1,                      1,                 0.9881,             0.00063271,             0.00063271,             0.00063271
                     26,                0.00302,                      1,                      1,                0.98904,             0.00062918,             0.00062918,             0.00062918
                     27,                0.00716,                      1,                      1,                0.99117,             0.00062564,             0.00062564,             0.00062564
                     28,                0.00423,                      1,                      1,                0.98037,             0.00062211,             0.00062211,             0.00062211
                     29,                0.00523,                      1,                      1,                0.97263,             0.00061857,             0.00061857,             0.00061857
                     30,                0.00287,                      1,                      1,                0.97596,             0.00061504,             0.00061504,             0.00061504
                     31,                0.00745,                      1,                      1,                 0.9728,             0.00061151,             0.00061151,             0.00061151
                     32,                0.00299,                      1,                      1,                0.97914,             0.00060797,             0.00060797,             0.00060797
                     33,                0.00146,                      1,                      1,                0.98075,             0.00060444,             0.00060444,             0.00060444
                     34,                0.00201,                      1,                      1,                0.97317,              0.0006009,              0.0006009,              0.0006009
                     35,                0.00129,                      1,                      1,                0.98435,             0.00059737,             0.00059737,             0.00059737
                     36,                0.00381,                      1,                      1,                0.98018,             0.00059383,             0.00059383,             0.00059383
                     37,                0.00477,                      1,                      1,                0.97328,              0.0005903,              0.0005903,              0.0005903
                     38,                0.00047,                      1,                      1,                0.97589,             0.00058677,             0.00058677,             0.00058677
                     39,                0.00111,                      1,                      1,                0.98006,             0.00058323,             0.00058323,             0.00058323
                     40,                0.00091,                      1,                      1,                 0.9777,              0.0005797,              0.0005797,              0.0005797
                     41,                0.00297,                      1,                      1,                0.97433,             0.00057616,             0.00057616,             0.00057616
                     42,                0.00086,                      1,                      1,                0.98132,             0.00057263,             0.00057263,             0.00057263
                     43,                0.00111,                      1,                      1,                0.97523,             0.00056909,             0.00056909,             0.00056909
                     44,                0.00344,                      1,                      1,                0.97838,             0.00056556,             0.00056556,             0.00056556
                     45,                0.00122,                      1,                      1,                0.97834,             0.00056203,             0.00056203,             0.00056203
                     46,                0.00106,                      1,                      1,                 0.9859,             0.00055849,             0.00055849,             0.00055849
                     47,                0.00066,                      1,                      1,                0.97548,             0.00055496,             0.00055496,             0.00055496
                     48,                0.00049,                      1,                      1,                0.97754,             0.00055142,             0.00055142,             0.00055142
                     49,                 0.0064,                      1,                      1,                0.98029,             0.00054789,             0.00054789,             0.00054789
                     50,                0.00148,                      1,                      1,                0.97744,             0.00054435,             0.00054435,             0.00054435
                     51,                0.00062,                      1,                      1,                0.97681,             0.00054082,             0.00054082,             0.00054082
                     52,                0.00072,                      1,                      1,                0.97735,             0.00053728,             0.00053728,             0.00053728
                     53,                0.00047,                      1,                      1,                0.97547,             0.00053375,             0.00053375,             0.00053375
                     54,                0.00163,                      1,                      1,                0.97281,             0.00053022,             0.00053022,             0.00053022
                     55,                0.00111,                      1,                      1,                0.97371,             0.00052668,             0.00052668,             0.00052668
                     56,                 0.0004,                      1,                      1,                0.98057,             0.00052315,             0.00052315,             0.00052315
                     57,                0.00051,                      1,                      1,                0.97866,             0.00051961,             0.00051961,             0.00051961
                     58,                 0.0011,                      1,                      1,                0.98427,             0.00051608,             0.00051608,             0.00051608
                     59,                0.00089,                      1,                      1,                0.98752,             0.00051254,             0.00051254,             0.00051254
                     60,                0.00087,                      1,                      1,                0.98184,             0.00050901,             0.00050901,             0.00050901
                     61,                0.00094,                      1,                      1,                0.98647,             0.00050548,             0.00050548,             0.00050548
                     62,                0.00085,                      1,                      1,                0.97989,             0.00050194,             0.00050194,             0.00050194
                     63,                0.00088,                      1,                      1,                0.99385,             0.00049841,             0.00049841,             0.00049841
                     64,                 0.0059,                      1,                      1,                 0.9785,             0.00049487,             0.00049487,             0.00049487
                     65,                0.00076,                      1,                      1,                0.98033,             0.00049134,             0.00049134,             0.00049134
                     66,                0.00055,                      1,                      1,                 0.9769,              0.0004878,              0.0004878,              0.0004878
                     67,                0.00105,                      1,                      1,                0.97285,             0.00048427,             0.00048427,             0.00048427
                     68,                0.00258,                      1,                      1,                0.97831,             0.00048074,             0.00048074,             0.00048074
                     69,                0.00095,                      1,                      1,                0.98046,              0.0004772,              0.0004772,              0.0004772
                     70,                0.00159,                      1,                      1,                0.98352,             0.00047367,             0.00047367,             0.00047367
                     71,                0.00067,                      1,                      1,                0.97205,             0.00047013,             0.00047013,             0.00047013
                     72,                0.00048,                      1,                      1,                0.98159,              0.0004666,              0.0004666,              0.0004666
                     73,                0.00094,                      1,                      1,                0.97578,             0.00046306,             0.00046306,             0.00046306
                     74,                0.00082,                      1,                      1,                0.97984,             0.00045953,             0.00045953,             0.00045953
                     75,                0.00135,                      1,                      1,                0.97758,               0.000456,               0.000456,               0.000456
                     76,                0.00103,                      1,                      1,                0.97821,             0.00045246,             0.00045246,             0.00045246
                     77,                0.00093,                      1,                      1,                0.97577,             0.00044893,             0.00044893,             0.00044893
                     78,                0.00052,                      1,                      1,                0.97236,             0.00044539,             0.00044539,             0.00044539
                     79,                0.00183,                      1,                      1,                 0.9636,             0.00044186,             0.00044186,             0.00044186
                     80,                0.00056,                      1,                      1,                0.97712,             0.00043832,             0.00043832,             0.00043832
                     81,                0.00101,                      1,                      1,                0.98742,             0.00043479,             0.00043479,             0.00043479
                     82,                0.00066,                      1,                      1,                 0.9839,             0.00043126,             0.00043126,             0.00043126
                     83,                 0.0015,                      1,                      1,                0.98338,             0.00042772,             0.00042772,             0.00042772
                     84,                0.00026,                      1,                      1,                0.97837,             0.00042419,             0.00042419,             0.00042419
                     85,                0.00269,                      1,                      1,                0.96731,             0.00042065,             0.00042065,             0.00042065
                     86,                0.00035,                      1,                      1,                0.97918,             0.00041712,             0.00041712,             0.00041712
                     87,                0.00059,                      1,                      1,                0.97427,             0.00041358,             0.00041358,             0.00041358
                     88,                0.00057,                      1,                      1,                0.97423,             0.00041005,             0.00041005,             0.00041005
